cards_initial,moves_initial,hand1_cards,hand2_cards,moves_1,moves_2,dealer_hand,money
"[5, 3, 'A']",['DD'],[],[],[],[],"['K', 4, 'Q']",200
"[7, 2, 9, 4]","['H', 'DD']",[],[],[],[],"[2, 10, 'J']",-200
"[10, 2]",['S'],[],[],[],[],"[4, 5, 'A', 6, 5]",-100
"[8, 'K']",['S'],[],[],[],[],"['Q', 2, 'K']",100
"[10, 3]",['S'],[],[],[],[],"[7, 'A', 5, 'A', 9]",-100
"['Q', 7, 4, 8, 'J']","['H', 'H', 'DD']",[],[],[],[],"[5, 6, 'J']",-200
"[10, 6, 'J']",['DD'],[],[],[],[],"[8, 4, 8]",-200
"[6, 6]",['S'],[],[],[],[],"['J', 'K']",-100
"['K', 3]",['S'],[],[],[],[],"[2, 8, 'K']",-100
"['Q', 'K']",['P'],"['Q', 6]","['K', 3]",['DD'],"['H', 'S']","[2, 'A', 8, 9]",-300
"[3, 10, 9]",['DD'],[],[],[],[],"[8, 'A', 8, 'Q']",-200
"[2, 5]",['S'],[],[],[],[],"['Q', 'J']",-100
"['A', 10, 3]",['DD'],[],[],[],[],"[5, 5, 5, 7]",200
"[10, 6]",['S'],[],[],[],[],"['J', 6, 'J']",100
"[6, 'A']",['S'],[],[],[],[],"[2, 'K', 8]",-100
"['Q', 4, 6, 10]","['H', 'DD']",[],[],[],[],"[6, 9, 'K']",-200
"['A', 8, 7]","['H', 'S']",[],[],[],[],"[7, 9, 2]",-100
"[7, 'J']",['S'],[],[],[],[],"['Q', 3, 8]",-100
"[5, 2, 'Q', 2]","['H', 'DD']",[],[],[],[],"['A', 'J', 9]",0
"[5, 'Q']",['S'],[],[],[],[],"[8, 10]",-100
"['Q', 'J', 10, 8]","['H', 'DD']",[],[],[],[],"[10, 7]",-200
"['Q', 4, 'K', 10]","['H', 'DD']",[],[],[],[],"[2, 2, 9, 9]",-200
"[9, 4]",['S'],[],[],[],[],"[7, 'K']",-100
"[4, 'K']",['S'],[],[],[],[],"['Q', 10]",-100
"[3, 6, 'J']","['H', 'S']",[],[],[],[],"['K', 8]",100
"[8, 5, 7]","['H', 'S']",[],[],[],[],"[2, 5, 2, 'J']",100
"['J', 7]",['S'],[],[],[],[],"[3, 8, 'A', 5, 6]",100
"[9, 9, 6, 'K', 2]","['H', 'H', 'H', 'S']",[],[],[],[],"[7, 7, 'K']",-100
"['Q', 10]",['S'],[],[],[],[],"['J', 8]",100
"[8, 5, 'Q']",['DD'],[],[],[],[],"['K', 10]",-200
"[2, 6, 'J', 4, 7, 5]","['H', 'H', 'H', 'DD']",[],[],[],[],"[5, 10, 7]",-200
"[10, 6, 'J']",['DD'],[],[],[],[],"['J', 7]",-200
"[7, 4]",['S'],[],[],[],[],"[8, 5, 9]",100
"[10, 'Q', 5, 2]","['H', 'DD']",[],[],[],[],"[10, 6, 9]",-200
"[7, 3]",['S'],[],[],[],[],"[2, 'J', 'J']",100
"['Q', 8, 5, 5]","['H', 'H', 'S']",[],[],[],[],"['K', 6, 9]",-100
